ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct	2.713s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-dev	4.434s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-hook	2.349s
ok  	github.com/wotjr1649/Clauduct/go/internal/app	247.053s
ok  	github.com/wotjr1649/Clauduct/go/internal/auth	2.596s
ok  	github.com/wotjr1649/Clauduct/go/internal/buildinfo	1.566s
ok  	github.com/wotjr1649/Clauduct/go/internal/childprocess	1.782s
ok  	github.com/wotjr1649/Clauduct/go/internal/gateway	43.095s
ok  	github.com/wotjr1649/Clauduct/go/internal/httpguard	2.769s
ok  	github.com/wotjr1649/Clauduct/go/internal/launch	1.736s
ok  	github.com/wotjr1649/Clauduct/go/internal/pdf	1.929s
ok  	github.com/wotjr1649/Clauduct/go/internal/platform	1.579s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/anthropic	3.864s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/bridge	2.453s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/codex	1.700s
ok  	github.com/wotjr1649/Clauduct/go/internal/stream	1.564s
ok  	github.com/wotjr1649/Clauduct/go/internal/update	2.108s
ok  	github.com/wotjr1649/Clauduct/go/internal/upstream	3.318s
ok  	github.com/wotjr1649/Clauduct/go/internal/wire	1.453s
