ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct	1.230s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-dev	6.688s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-hook	6.889s
ok  	github.com/wotjr1649/Clauduct/go/internal/app	566.912s
ok  	github.com/wotjr1649/Clauduct/go/internal/auth	4.238s
ok  	github.com/wotjr1649/Clauduct/go/internal/buildinfo	2.008s
ok  	github.com/wotjr1649/Clauduct/go/internal/childprocess	2.372s
ok  	github.com/wotjr1649/Clauduct/go/internal/gateway	146.303s
ok  	github.com/wotjr1649/Clauduct/go/internal/launch	1.757s
ok  	github.com/wotjr1649/Clauduct/go/internal/pdf	6.174s
ok  	github.com/wotjr1649/Clauduct/go/internal/platform	3.593s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/anthropic	7.843s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/bridge	4.294s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/codex	1.768s
ok  	github.com/wotjr1649/Clauduct/go/internal/stream	3.144s
ok  	github.com/wotjr1649/Clauduct/go/internal/update	4.710s
ok  	github.com/wotjr1649/Clauduct/go/internal/upstream	6.631s
ok  	github.com/wotjr1649/Clauduct/go/internal/wire	1.776s
