ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct	1.087s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-dev	4.003s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-hook	5.065s
ok  	github.com/wotjr1649/Clauduct/go/internal/app	510.153s
ok  	github.com/wotjr1649/Clauduct/go/internal/auth	1.829s
ok  	github.com/wotjr1649/Clauduct/go/internal/buildinfo	1.359s
ok  	github.com/wotjr1649/Clauduct/go/internal/childprocess	1.672s
ok  	github.com/wotjr1649/Clauduct/go/internal/gateway	46.944s
ok  	github.com/wotjr1649/Clauduct/go/internal/launch	1.429s
ok  	github.com/wotjr1649/Clauduct/go/internal/pdf	1.727s
ok  	github.com/wotjr1649/Clauduct/go/internal/platform	1.377s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/anthropic	2.472s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/bridge	1.899s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/codex	1.491s
ok  	github.com/wotjr1649/Clauduct/go/internal/stream	1.549s
ok  	github.com/wotjr1649/Clauduct/go/internal/update	2.252s
ok  	github.com/wotjr1649/Clauduct/go/internal/upstream	3.283s
ok  	github.com/wotjr1649/Clauduct/go/internal/wire	1.444s
