ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct	1.180s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-dev	3.051s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-hook	3.474s
ok  	github.com/wotjr1649/Clauduct/go/internal/app	324.699s
ok  	github.com/wotjr1649/Clauduct/go/internal/auth	1.831s
ok  	github.com/wotjr1649/Clauduct/go/internal/buildinfo	1.384s
ok  	github.com/wotjr1649/Clauduct/go/internal/childprocess	1.720s
ok  	github.com/wotjr1649/Clauduct/go/internal/gateway	48.899s
ok  	github.com/wotjr1649/Clauduct/go/internal/launch	1.503s
ok  	github.com/wotjr1649/Clauduct/go/internal/pdf	1.741s
ok  	github.com/wotjr1649/Clauduct/go/internal/platform	1.432s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/anthropic	2.535s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/bridge	1.898s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/codex	1.432s
ok  	github.com/wotjr1649/Clauduct/go/internal/stream	1.473s
ok  	github.com/wotjr1649/Clauduct/go/internal/update	2.128s
ok  	github.com/wotjr1649/Clauduct/go/internal/upstream	3.275s
ok  	github.com/wotjr1649/Clauduct/go/internal/wire	1.505s
